               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.048857,            0.022114,            0.068236,            0.004091,             0.83274,            0.062776,            0.020762,            0.056274,            0.013894,            0.069145,           0.0099871,           0.0099871,           0.0099871
                 117,            0.053109,            0.020837,            0.068368,            0.004006,             0.83274,             0.06309,            0.020681,            0.055479,             0.01377,            0.069077,           0.0099869,           0.0099869,           0.0099869
                 118,             0.05089,            0.021276,            0.068179,           0.0037447,             0.82922,            0.071368,             0.02152,            0.063053,            0.013191,            0.069214,           0.0099866,           0.0099866,           0.0099866
                 119,            0.049063,            0.021563,            0.068196,           0.0036232,             0.83366,            0.070275,            0.025424,            0.056661,            0.013345,            0.069077,           0.0099864,           0.0099864,           0.0099864
                 120,             0.04995,            0.021012,            0.068293,           0.0034885,             0.83783,             0.07078,            0.020891,            0.068666,            0.012722,            0.069214,           0.0099862,           0.0099862,           0.0099862
                 121,             0.04877,            0.021595,            0.067695,             0.00359,             0.85907,            0.072597,            0.026038,             0.05731,            0.013118,             0.06918,           0.0099859,           0.0099859,           0.0099859
                 122,            0.049114,            0.021636,            0.068319,           0.0033931,             0.83339,            0.081327,            0.026513,             0.06356,            0.012612,            0.069283,           0.0099857,           0.0099857,           0.0099857
                 123,            0.048254,            0.020994,            0.068147,           0.0033908,             0.87065,            0.068308,            0.026038,             0.05371,            0.012729,            0.068871,           0.0099855,           0.0099855,           0.0099855
                 124,             0.04852,            0.021427,            0.068062,             0.00383,             0.84524,            0.077575,            0.027075,            0.062182,            0.012429,             0.06942,           0.0099852,           0.0099852,           0.0099852
                 125,            0.049607,             0.02038,            0.068226,           0.0033357,             0.84987,            0.069686,            0.024965,             0.05759,            0.012656,            0.069626,            0.009985,            0.009985,            0.009985
                 126,             0.04799,            0.020864,            0.068636,            0.014819,             0.74237,            0.085164,            0.027634,            0.060882,            0.011382,            0.069008,           0.0099847,           0.0099847,           0.0099847
                 127,            0.049084,            0.020777,            0.068222,            0.020141,             0.66811,            0.088924,            0.035552,             0.05458,            0.011565,            0.068802,           0.0099845,           0.0099845,           0.0099845
                 128,            0.048288,            0.021475,            0.068004,            0.036541,             0.54337,            0.090992,            0.028515,            0.059925,            0.011177,            0.068974,           0.0099842,           0.0099842,           0.0099842
                 129,            0.047114,            0.020326,            0.067909,            0.034452,             0.67605,            0.088641,            0.034777,            0.056777,            0.011697,            0.069454,            0.009984,            0.009984,            0.009984
                 130,            0.047594,            0.020936,            0.068199,            0.050979,             0.46432,             0.10001,            0.036511,             0.05512,            0.010701,            0.068356,           0.0099837,           0.0099837,           0.0099837
                 131,            0.049493,            0.020493,            0.067912,            0.039093,             0.51226,             0.10442,            0.045604,            0.050165,            0.010957,             0.06863,           0.0099835,           0.0099835,           0.0099835
                 132,            0.047738,            0.020773,            0.068222,            0.061313,              0.4351,             0.10365,            0.041689,            0.052239,           0.0099902,            0.068115,           0.0099832,           0.0099832,           0.0099832
                 133,            0.047604,            0.020261,            0.068095,             0.16194,             0.37167,             0.11449,            0.048754,             0.04821,            0.010591,            0.068424,            0.009983,            0.009983,            0.009983
                 134,            0.048579,            0.020689,            0.067755,             0.15394,             0.37774,             0.11282,            0.043735,             0.05508,           0.0099829,            0.068459,           0.0099827,           0.0099827,           0.0099827
                 135,            0.049743,            0.020078,            0.067908,             0.22096,             0.40125,             0.11737,            0.051587,            0.049285,            0.010239,            0.068665,           0.0099825,           0.0099825,           0.0099825
                 136,            0.047157,            0.020401,            0.068234,             0.14275,             0.40006,             0.11135,            0.042344,            0.054733,            0.009624,            0.068356,           0.0099822,           0.0099822,           0.0099822
                 137,             0.04821,            0.019732,            0.068035,             0.13824,             0.44298,             0.11762,            0.052279,            0.048748,           0.0099243,            0.068459,           0.0099819,           0.0099819,           0.0099819
                 138,            0.045992,            0.019523,            0.067811,             0.46872,              0.1925,             0.12025,            0.051506,            0.050716,           0.0098511,            0.068356,           0.0099817,           0.0099817,           0.0099817
                 139,            0.047928,            0.020331,            0.067837,             0.22241,             0.32483,             0.10809,            0.048781,            0.050064,           0.0095435,             0.06815,           0.0099814,           0.0099814,           0.0099814
                 140,            0.047466,            0.020022,            0.067681,             0.53457,             0.18596,             0.11727,            0.048561,             0.05136,           0.0095142,            0.068527,           0.0099811,           0.0099811,           0.0099811
                 141,            0.047718,            0.020196,             0.06794,             0.64005,             0.13261,             0.10465,            0.047944,            0.052084,           0.0095288,            0.068562,           0.0099809,           0.0099809,           0.0099809
                 142,            0.047367,            0.019554,            0.068062,             0.61068,             0.15022,             0.11899,            0.059997,            0.050577,           0.0093311,            0.068459,           0.0099806,           0.0099806,           0.0099806
                 143,            0.047086,             0.01945,            0.067703,              0.3091,              0.2264,             0.10556,            0.046753,            0.052675,           0.0096021,             0.06863,           0.0099803,           0.0099803,           0.0099803
                 144,            0.048008,            0.019357,             0.06814,             0.30429,             0.23578,             0.11451,             0.05215,            0.048615,           0.0097046,            0.068562,             0.00998,             0.00998,             0.00998
                 145,            0.045576,            0.020218,            0.067476,             0.24387,             0.20555,              0.1122,            0.051333,            0.051289,           0.0097266,            0.068665,           0.0099798,           0.0099798,           0.0099798
                 146,            0.045231,            0.019658,             0.06764,             0.25147,             0.24936,             0.12237,            0.053407,            0.054213,           0.0099609,            0.069008,           0.0099795,           0.0099795,           0.0099795
                 147,            0.046195,            0.019145,            0.067909,              0.2825,             0.26905,             0.11889,            0.056016,            0.054468,           0.0096899,            0.068905,           0.0099792,           0.0099792,           0.0099792
                 148,            0.046032,            0.018979,            0.067737,             0.27546,             0.24359,             0.13006,            0.063295,            0.052103,           0.0095874,            0.068974,           0.0099789,           0.0099789,           0.0099789
                 149,            0.045158,             0.01868,            0.067748,             0.26681,             0.27901,            0.095321,            0.036993,            0.069667,            0.010583,             0.07045,           0.0099786,           0.0099786,           0.0099786
                 150,            0.044487,             0.01908,            0.067719,             0.30984,              0.2625,             0.14399,            0.077387,            0.047546,           0.0090747,            0.068218,           0.0099783,           0.0099783,           0.0099783
                 151,            0.045935,            0.019691,            0.067823,             0.28351,             0.29901,             0.11024,            0.043198,            0.064275,           0.0096533,            0.069454,            0.009978,            0.009978,            0.009978
                 152,            0.045317,            0.018641,            0.067601,             0.29477,             0.28992,             0.13316,            0.063549,            0.046167,            0.009082,            0.068081,           0.0099777,           0.0099777,           0.0099777
